Id,Creation Time,Monitoring Time,test/bleu,test/chrf,test/rouge-l-f,val/bleu (max),val/chrf (max),val/rouge-l-f (max),raw_model
DAT-71,2023-03-21 18:25:58,2654,0.24232379600726237,0.5226178793285087,0.3902873044057403,0.2544156129524839,0.5218499607086811,0.39437266633146034,cointegrated/rut5-base-multitask
DAT-70,2023-03-21 00:44:13,2485,0.2012110303690192,0.4899524759667011,0.3656299804271784,0.22092450991878387,0.4974702499927843,0.3765606494250111,IlyaGusev/rubert_telegram_headlines
DAT-65,2023-03-20 23:33:59,2631,,,,0.20717125046413895,0.5004477795319863,0.3699359711939142,IlyaGusev/rubert_telegram_headlines
DAT-64,2023-03-20 21:46:51,3264,,,,0.2430700188223769,0.5100693679100718,0.3724991451917576,cointegrated/rut5-base-multitask
DAT-59,2023-03-19 23:37:59,2504,0.19846455846759284,0.48607563965710177,0.35892155441226137,0.21923525721507592,0.5000617757816117,0.3726878911968468,IlyaGusev/rubert_telegram_headlines
DAT-56,2023-03-19 22:28:18,3094,0.23340381551835068,0.5113846491928877,0.37708670053023247,0.2702442207357056,0.5344803340938137,0.4032490461997676,cointegrated/rut5-base-multitask
DAT-55,2023-03-19 20:46:55,3557,0.03529960231454021,0.33641170875219345,0.21191928751684588,0.03519899862532937,0.3366535761513075,0.20838403716241882,IlyaGusev/rugpt3medium_sum_gazeta
DAT-54,2023-03-19 18:45:18,2583,0.2034762897528288,0.4965905537435054,0.36430411367498544,0.22186983478610706,0.5015331982552999,0.3739925068951778,IlyaGusev/rubert_telegram_headlines
DAT-53,2023-03-19 17:48:35,2809,0.1995012998846621,0.4858906324006723,0.3637734519722465,0.21085183193042445,0.49377362201924885,0.3785898498439875,IlyaGusev/rubert_telegram_headlines
DAT-50,2023-03-13 22:49:04,2964,0.23988800710303068,0.5181472207470913,0.3953776661692821,0.2690847865452384,0.5440544328535603,0.42363861653941776,cointegrated/rut5-base-multitask
DAT-48,2023-03-11 02:00:22,2811,0.24293388030530016,0.5211224295469992,0.3941672325039482,0.27519452310724113,0.542214895223979,0.4139889439345067,cointegrated/rut5-base-multitask
DAT-45,2023-03-09 02:20:59,2838,,,,0.04642362390401873,0.338707359430207,0.23422405955811598,IlyaGusev/rugpt3medium_sum_gazeta
